mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.19491224288940429,0.005217618316052797,0.014782905578613281,0.003280015850781586,8,5,100,"{'max_depth': 8, 'min_samples_split': 5, 'n_estimators': 100}",-2930.103517545943,-4624.226953767884,-3143.202380790107,-3553.968678604441,-3084.664817494876,-3467.2332696406497,614.169426847386,22,-832.4285102645654,-722.2830829811064,-852.4199353228777,-806.4078999703952,-828.0892129058707,-808.3257282889631,45.437547015984514
0.3880008220672607,0.01849253033501925,0.03257198333740234,0.005890562994555449,8,5,200,"{'max_depth': 8, 'min_samples_split': 5, 'n_estimators': 200}",-2940.374648657808,-4493.223945561435,-3084.2784262165164,-3559.2818457610715,-3130.6698880489907,-3441.565750849165,564.8619350375786,17,-811.6222410885733,-708.263336572582,-824.8348459469072,-795.6373377250569,-830.4382988366262,-794.1592120339492,44.59239916352125
0.09304380416870117,0.005186410501414153,0.006930065155029297,0.0007887985407799602,8,10,50,"{'max_depth': 8, 'min_samples_split': 10, 'n_estimators': 50}",-2971.9763828745777,-4616.684957261399,-3164.4830483335218,-3510.764212866233,-3074.852852351452,-3467.752290737437,602.3341681393453,23,-1263.4142994005547,-1065.629471468752,-1210.6475532988952,-1144.7779822549492,-1177.1188635606386,-1172.3176339967579,66.22934909598172
0.18454446792602539,0.007635320440179917,0.011364459991455078,0.0006560810759915005,8,10,100,"{'max_depth': 8, 'min_samples_split': 10, 'n_estimators': 100}",-2942.882322165166,-4554.303087969057,-3101.8604610595985,-3543.2200932564097,-3121.5803120544174,-3452.76925530093,585.5537415449795,19,-1223.564622031416,-1040.30867214874,-1213.2531879781723,-1139.4462811758524,-1160.1011698728673,-1155.3347866414097,65.59881352749086
0.36667566299438475,0.011190643424629478,0.020485401153564453,0.0009719235186217316,8,10,200,"{'max_depth': 8, 'min_samples_split': 10, 'n_estimators': 200}",-2924.618546138308,-4456.5481523862945,-3043.87254396642,-3543.4079070818225,-3155.564817563476,-3424.802393427264,556.1199299710917,8,-1205.5663429072229,-1022.7307093459333,-1197.3137756448502,-1132.5882965774886,-1157.0474474853252,-1143.0493143921642,65.77987223076772
0.1052459716796875,0.009750451733200301,0.006600761413574218,0.0014847143423877289,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",-2989.569592699342,-4761.721214352901,-3244.021528531865,-3655.948517753733,-3032.107422131437,-3536.673655093856,656.4332747545326,35,-574.8142410216224,-511.3491878860363,-571.8786933865943,-535.9482725298521,-557.4753316607424,-550.2931452969696,23.83783134582683
0.20525426864624025,0.012075220754842656,0.011429786682128906,0.001426888766286294,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",-2941.008618096062,-4688.306922382073,-3213.6991925676516,-3630.4431633258446,-3084.4340493017394,-3511.578389134674,631.7520149431857,32,-554.9826344163598,-491.61606707530575,-579.468382178986,-534.6180707023354,-544.1077047344396,-540.9585718214853,28.859943148273068
0.43756561279296874,0.02411741779882854,0.021009492874145507,0.0030982050131108,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",-2959.559704282962,-4556.090535199024,-3153.9793202209785,-3614.4283881816036,-3109.63795091162,-3478.7391797592377,581.4377895545122,26,-533.9633552732536,-473.6180633784991,-554.727958369019,-519.0687704058572,-544.8709615432725,-525.2498217939803,28.403940571792294
0.10672354698181152,0.009358793160473796,0.009786701202392578,0.005688721145333456,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",-2976.4107502381257,-4750.000774885391,-3195.7164206253765,-3649.8229841259526,-3066.9214652514174,-3527.7744790252523,653.5109749291252,34,-750.943324348928,-640.4435556191619,-729.2528398420267,-688.1087271610463,-686.9709472189339,-699.1438788380194,38.22411508645685
0.21117162704467773,0.013535377715500336,0.009537267684936523,0.005177188675396963,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",-2903.528083565857,-4676.518008239506,-3161.536718501406,-3636.2994680182187,-3063.4850401075305,-3488.2734636865034,642.3341903793829,29,-723.9124243334647,-618.3390901475876,-733.7701643531128,-680.3429407774054,-690.0111744446937,-689.2751588112528,40.72296098394478
0.40596160888671873,0.007991944431350399,0.024409103393554687,0.004786307485182158,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",-2912.791604066392,-4534.7099378459025,-3091.290450034316,-3612.1710055232306,-3108.4138097827336,-3451.875361450515,589.3766243475418,18,-703.628789910687,-605.0392909873209,-710.4578468546455,-668.3481186493042,-695.8408687062746,-676.6629830216464,38.564566877274785
0.09599890708923339,0.006255873858347829,0.006343364715576172,0.004395139276206814,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",-2961.908892104258,-4682.808116024842,-3175.88026820413,-3523.3363439376253,-3065.3195147950446,-3481.8506270131793,629.5197202212886,27,-1202.4723743126303,-1006.23630122665,-1144.8508600674443,-1072.4896240741118,-1092.3325726100215,-1103.6763464581716,66.41061807223079
0.18427762985229493,0.0037012340498923037,0.010992193222045898,0.003625632652816286,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",-2943.773882997825,-4608.859785680812,-3133.115797418229,-3551.240839984093,-3122.8392593971303,-3471.965913095618,602.4131196166039,24,-1166.8669844494077,-983.1372866627376,-1142.375949322874,-1072.0764697040406,-1081.7246232240457,-1089.2362626726213,63.96597719592456
0.3796351909637451,0.014959407098477102,0.020501136779785156,0.00024077547504152005,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",-2929.9336915528556,-4477.306151551849,-3062.712157305939,-3560.1743659561703,-3170.69202394309,-3440.163678061981,559.5509516662877,13,-1147.1922372283905,-966.0266957174159,-1129.145631937422,-1067.0402190738464,-1074.0170038616066,-1076.6843575637363,63.3542243453355
